name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,number_in_the_labour_force_age_15,number_employed_age_15,number_unemployed_age_15,number_not_in_labour_force_age_15,participation_rate,employment_rate,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language,number_1_year_mobility_total,number_1_year_non_movers,number_1_year_movers,number_1_year_non_migrants,number_1_year_migrants,number_1_year_intraprovincial_migrants,number_1_year_interprovincial_migrants,number_1_year_external_migrants,percent_1_year_non_movers,percent_1_year_movers,percent_1_year_migrants.x,percent_1_year_migrants.y,percent_1_year_intraprovincial_migrants,percent_1_year_interprovincial_migrants,percent_1_year_external_migrants,number_5_year_mobility_total,number_5_year_non_movers,number_5_year_movers,number_5_year_non_migrants,number_5_year_migrants,number_5_year_intraprovincial_migrants,number_5_year_interprovincial_migrants,number_5_year_external_migrants,percent_5_year_non_movers,percent_5_year_movers,percent_5_year_migrants.x,percent_5_year_migrants.y,percent_5_year_intraprovincial_migrants,percent_5_year_interprovincial_migrants,percent_5_year_external_migrants
ottawa_census_division_3506_00000_3_1_percent,188640,32960,0.17472434266327397,24805,0.13149385072094996,100125,0.5307729007633588,0.16303541136556404,0.0513676844783715,0.2196776929601357,0.03580894826123834,0.014259966072943173,0.019667090754877013,2.3854961832061068e-4,0.3060591603053435,0.059531382527565735,0.29823396627273935,5.831212892281595e-4,0.06337078651685393,0.1225349872773537,100400,91030,9370,55275,65,59,9,53300,61400,50640,60750,10,13,0.7817228464419476,11230,16660,0.08831636980491943,4180,0.10301910043130007,9560,0.08149347881681016,2920,0.09494391155909608,40,40,30755,14850,0.25139664804469275,6755,2690,3710,45,41440,9690,110,107420,0.5694444444444444,14100,0.07474554707379134,37805,0.7486138613861386,6805,0.13475247524752476,3460,0.06851485148514852,740,0.014653465346534653,1690,0.03346534653465347,40215,0.4417531718569781,7435,0.08167188444005052,0.9365792759051186,0.06198019801980198,57735,2455,2475,34145,215,11775,1835,1325,1050,275,210,530,1440,130905,0.01301420695504665,0.013120229007633587,0.18100614927905004,0.0011397370653095844,0.0624204834605598,0.00972752332485157,0.007023960983884648,0.00556615776081425,0.0014578032230703987,0.0011132315521628498,0.002809584393553859,0.007633587786259542,0.6939408396946565,36815,0.8886072894038136,4615,0.11139271059618634,187115,163540,23575,16135,7445,2260,2855,2325,0.8740079630173957,0.12599203698260428,0.08623039307377815,0.03978836544371109,0.012078133768003634,0.015257996419314326,0.012425513721508163,180685,106720,73965,41360,32600,8290,12430,11885,0.5906411710988737,0.4093588289011263,0.22890666076320668,0.18042449566925867,0.045880953039820684,0.06879375709107009,0.0657774580070288
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,40,0,0,0,0,10,0.25,0.5,0,0,0,0,0,0,0,0,NA,0,0.4,0,25,20,0,20,56,44,0,30000,22000,32000,30000,22,40,0.4,0,0,0,0,NA,0,0,0,0,58,62,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,45,45,0,0,0,0,0,0,1,0,0,0,0,0,0,45,20,20,0,15,15,0,0,0.4444444444444444,0.4444444444444444,0,0.3333333333333333,0.3333333333333333,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,25,0,0,10,0.4,0,0,0.4,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,44,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,7430,1190,0.1601615074024226,670,0.0901749663526245,4075,0.5484522207267833,0.20053835800807537,0.0013458950201884253,0.009421265141318977,0.04441453566621804,0.02489905787348587,0.01547779273216689,0,0.006729475100942127,0.002018842530282638,0.375,0,0.14846625766871166,0.1063257065948856,3990,3795,195,2250,64,61,5,42320,44520,40200,44440,15,20,0.5447852760736196,15,665,0.08950201884253028,115,0.08363636363636363,325,0.0712719298245614,220,0.1476510067114094,43,46,1490,480,0.24489795918367346,330,185,115,0,70,10,0,6890,0.927321668909825,1330,0.17900403768506057,2915,0.9448946515397083,35,0.011345218800648298,75,0.024311183144246355,0,0,50,0.01620745542949757,710,0.18708827404479578,725,0.19104084321475626,0.8515337423312883,0.13776337115072934,50,0,0,30,10,10,0,0,0,0,0,0,0,7380,0,0,0.004037685060565276,0.0013458950201884253,0.0013458950201884253,0,0,0,0,0,0,0,0.9932705248990579,1385,0.992831541218638,0,0,7335,6690,645,315,335,275,55,0,0.9120654396728016,0.08793456032719836,0.04294478527607362,0.04567143830947512,0.03749147920927062,0.007498295841854124,0,7005,4640,2365,940,1425,1210,215,0,0.662384011420414,0.337615988579586,0.13418986438258387,0.20342612419700215,0.17273376159885795,0.030692362598144184,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1425,310,0.21754385964912282,225,0.15789473684210525,665,0.4666666666666667,0.16140350877192983,0.042105263157894736,0.17543859649122806,0.010526315789473684,0,0,0,0.19298245614035087,0.010526315789473684,0.08333333333333333,0,0.015037593984962405,0.05263157894736842,745,685,60,370,67,61,8,61200,77400,58900,71800,7,9,0.8646616541353384,15,75,0.05263157894736842,0,0,50,0.06060606060606061,0,0,39,40,230,50,0.10309278350515463,15,0,0,0,250,60,0,785,0.5508771929824562,65,0.0456140350877193,195,0.75,25,0.09615384615384616,20,0.07692307692307693,10,0.038461538461538464,15,0.057692307692307696,415,0.6058394160583942,35,0.051094890510948905,0.9774436090225563,0.057692307692307696,275,20,35,65,0,95,10,0,35,0,0,10,0,1150,0.014035087719298246,0.02456140350877193,0.0456140350877193,0,0.06666666666666667,0.007017543859649123,0,0.02456140350877193,0,0,0.007017543859649123,0,0.8070175438596491,355,0.9342105263157895,25,0.06578947368421052,1410,1240,170,120,55,15,10,30,0.8794326241134752,0.12056737588652482,0.0851063829787234,0.03900709219858156,0.010638297872340425,0.0070921985815602835,0.02127659574468085,1340,845,495,300,190,35,70,80,0.6305970149253731,0.3694029850746269,0.22388059701492538,0.1417910447761194,0.026119402985074626,0.05223880597014925,0.05970149253731343
ottawa_ons2022_arnprior_3702_00000_2_5_percent,460,55,0.11956521739130435,25,0.05434782608695652,240,0.5217391304347826,0.30434782608695654,0,0.043478260869565216,0.14130434782608695,0.03260869565217391,0.11956521739130435,0,0,0,0,0,0.1875,0.17391304347826086,165,150,20,240,41,37,12,44600,45800,44000,50000,17,23,0.5625,0,55,0.11956521739130435,0,0,35,0.1346153846153846,0,0,51,58,140,0,0,65,15,55,0,20,0,0,120,0.25806451612903225,0,0,90,0.8571428571428571,0,0,0,0,0,0,0,0,45,0.3,15,0.1,0.7916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0.6666666666666666,20,0.3333333333333333,450,380,70,15,55,40,15,0,0.8444444444444444,0.15555555555555556,0.03333333333333333,0.12222222222222222,0.08888888888888889,0.03333333333333333,0,430,170,260,50,210,165,45,0,0.3953488372093023,0.6046511627906976,0.11627906976744186,0.4883720930232558,0.38372093023255816,0.10465116279069768,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1735,390,0.22478386167146974,200,0.11527377521613832,905,0.521613832853026,0.14121037463976946,0.14121037463976946,0.4409221902017291,0.0345821325648415,0.01440922190201729,0.020172910662824207,0,0.6282420749279539,0.1844380403458213,0.43537414965986393,0.005747126436781609,0.11049723756906077,0.11815561959654179,830,715,115,520,62,53,14,40000,42300,37100,42700,18,25,0.7237569060773481,320,350,0.2017291066282421,120,0.25806451612903225,175,0.17073170731707318,60,0.24489795918367346,37,36,245,265,0.42063492063492064,60,25,35,0,765,245,10,935,0.5373563218390804,230,0.13218390804597702,290,0.6666666666666666,115,0.26436781609195403,15,0.034482758620689655,0,0,0,0,280,0.3916083916083916,90,0.1258741258741259,0.8895027624309392,0.09195402298850575,1090,45,20,690,0,210,20,30,10,0,0,0,45,650,0.025936599423631124,0.011527377521613832,0.3976945244956772,0,0.12103746397694524,0.011527377521613832,0.01729106628242075,0.005763688760806916,0,0,0,0.025936599423631124,0.3746397694524496,400,0.8421052631578947,85,0.17894736842105263,1730,1520,205,140,65,0,40,15,0.8786127167630058,0.11849710982658959,0.08092485549132948,0.03757225433526012,0,0.023121387283236993,0.008670520231213872,1645,870,770,375,400,40,135,225,0.5288753799392097,0.46808510638297873,0.22796352583586627,0.24316109422492402,0.0243161094224924,0.08206686930091185,0.13677811550151975
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,2690,375,0.13940520446096655,360,0.13382899628252787,1415,0.5260223048327137,0.19888475836431227,0.11152416356877323,0.27137546468401486,0.040892193308550186,0.01486988847583643,0.026022304832713755,0,0.3475836431226766,0.09293680297397769,0.3597122302158273,0,0.10954063604240283,0.120817843866171,1345,1190,160,970,58,51,12,45560,47720,42800,48120,14,19,0.6749116607773852,250,275,0.10223048327137546,100,0.21052631578947367,130,0.07738095238095238,40,0.07407407407407407,43,44,535,245,0.3223684210526316,110,40,70,0,730,300,0,1775,0.6586270871985158,290,0.10760667903525047,505,0.6778523489932886,160,0.21476510067114093,50,0.06711409395973154,15,0.020134228187919462,10,0.013422818791946308,435,0.36554621848739494,145,0.12184873949579832,0.8904593639575972,0.04697986577181208,935,45,15,680,0,110,10,0,0,0,0,30,30,1755,0.016728624535315983,0.0055762081784386614,0.2527881040892193,0,0.040892193308550186,0.0037174721189591076,0,0,0,0,0.011152416356877323,0.011152416356877323,0.6524163568773235,430,0.8958333333333334,50,0.10416666666666667,2670,2320,350,195,155,35,30,85,0.8689138576779026,0.13108614232209737,0.07303370786516854,0.05805243445692884,0.013108614232209739,0.011235955056179775,0.031835205992509365,2575,1655,920,415,505,55,140,315,0.6427184466019418,0.3572815533980582,0.16116504854368932,0.19611650485436893,0.021359223300970873,0.05436893203883495,0.12233009708737864
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,670,155,0.23134328358208955,60,0.08955223880597014,335,0.5,0.17164179104477612,0.1417910447761194,0.3283582089552239,0.04477611940298507,0,0.03731343283582089,0,0.29850746268656714,0.04477611940298507,0.15384615384615385,0,0.04477611940298507,0.14925373134328357,335,290,40,180,66,57,12,56800,64400,54400,63000,10,12,0.7910447761194029,30,90,0.13432835820895522,30,0.16666666666666666,55,0.14473684210526316,0,0,40,41,115,45,0.20454545454545456,30,0,25,0,220,95,0,190,0.2835820895522388,20,0.029850746268656716,110,0.7857142857142857,15,0.10714285714285714,0,0,0,0,0,0,150,0.5172413793103449,15,0.05172413793103448,0.9552238805970149,0.07142857142857142,200,10,15,50,0,85,15,10,0,0,0,0,10,470,0.014925373134328358,0.022388059701492536,0.07462686567164178,0,0.12686567164179105,0.022388059701492536,0.014925373134328358,0,0,0,0,0.014925373134328358,0.7014925373134329,140,0.8,45,0.2571428571428571,655,540,115,75,40,0,15,20,0.8244274809160306,0.17557251908396945,0.11450381679389313,0.061068702290076333,0,0.022900763358778626,0.030534351145038167,625,335,290,130,155,15,30,100,0.536,0.464,0.208,0.248,0.024,0.048,0.16
