name,total_population,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
province_of_ontario_00000_3_8_percent,406590,63280,0.155635899,0.10392533,5.29E-04,0.005595317,1,0.617403281,0.331082909,0.010600359,2.34E-04,7.38E-05,0.024193548,8.73E-04,0.206911314,0.105585479,15,42360,46160,36720,42640,17.7,23.1,0.535020334,30,69030,0.169777909,22910,0.207762764,38420,0.151221144,7705,0.182345285,35.3,33.2,10.4,61875,0.397437133,406590,251030,134615,4310,2275,215,355,17410,Inf,1050,Inf,110055,0.851258847,5950,0.046022354,8745,0.067641258,1235,0.009552539,3305,0.025563677,31135,0.193667776,22905,0.142475041,0.793088686,0.076033569,95,40,0,20,0,0,15,0,10,0,0,0,10,406495,9.84E-05,0,4.92E-05,0,0,3.69E-05,0,2.46E-05,0,0,0,2.46E-05,0.999766349
ottawa_census_division_3506_00000_3_1_percent,26395,4105,0.155521879,0.090358022,9.47E-04,0.004925175,1,0.503693881,0.399318053,0.048115173,0,0,0,7.58E-04,0.125382263,0.131653722,13.7,46760,54150,44320,53700,10.9,16.2,0.661230037,0,3195,0.121045653,795,0.126090404,2115,0.119424054,290,0.121593291,35.6,33.6,9,3445,0.378155873,26395,13295,10540,1270,130,25,20,3205,Inf,165,Inf,5475,0.735887097,915,0.122983871,600,0.080645161,160,0.021505376,290,0.038978495,4740,0.388206388,1430,0.117117117,0.874617737,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,26395,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,175,25,0.142857143,0.142857143,0,0,1,0.457142857,0.457142857,0,0,0,NA,0,0.1,0.057142857,10.5,39000,40000,33500,37000,16,19,0.7,0,0,0,0,0,0,0,0,0,40.4,45.2,14.3,15,0.25,175,80,80,0,0,0,0,0,NA,0,NA,70,1,0,0,0,0,0,0,0,0,15,0.176470588,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_airport_3001_00000_6_7_percent,20,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,27,NA,0,0,0,20,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,435,30,0.068965517,0.114942529,0,0,1,0.604651163,0.313953488,0,0,0,NA,0,0.117647059,0.114942529,8.3,46000,50000,42400,47200,13.6,18.4,0.549019608,0,35,0.08045977,0,0,30,0.107142857,0,0,38.1,39.6,11.5,50,0.4,430,260,135,0,0,0,0,270,Inf,40,Inf,165,1,0,0,0,0,0,0,0,0,55,0.25,45,0.204545455,0.882352941,0.121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,80,10,0.125,0.1875,0,0,1,0.3125,0.625,0,0,0,NA,0,0,0.125,0,54000,50000,48000,52000,9.5,17,0.833333333,0,0,0,0,NA,0,0,0,NA,36.5,33.2,18.8,10,0.666666667,80,25,50,0,0,0,0,0,NA,0,NA,15,0.6,0,0,0,0,0,0,0,0,15,0.428571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_arnprior_3702_00000_2_5_percent,575,75,0.130434783,0.086956522,0,0,1,0.486956522,0.460869565,0,0,0,NA,0,0.174603175,0.086956522,7.1,38200,38400,33000,34200,22,24.6,0.523809524,0,70,0.120689655,0,0,60,0.164383562,0,0,33.9,31.6,8.7,45,0.214285714,575,280,265,0,0,0,0,0,NA,0,NA,190,0.88372093,0,0,20,0.093023256,0,0,0,0,35,0.137254902,65,0.254901961,0.80952381,0.093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_bayshore_3003_00000_5_4_percent,390,45,0.115384615,0.08974359,0,0,1,0.607594937,0.291139241,0.050632911,0,0,NA,0,0.136363636,0.192307692,17.1,39600,43200,37200,43200,19.2,26.4,0.613636364,0,125,0.320512821,65,0.590909091,55,0.22,0,0,34.4,31.8,9,110,0.785714286,395,240,115,20,0,0,0,40,Inf,0,NA,85,1,0,0,0,0,0,0,0,0,55,0.379310345,35,0.24137931,0.863636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,265,15,0.056603774,0.132075472,0,0,1,0.509433962,0.490566038,0,0,0,NA,0,0.117647059,0.188679245,8.3,40800,45200,39600,48400,15.2,23.2,0.558823529,0,30,0.113207547,0,0,20,0.108108108,0,0,39,36.4,13.2,35,0.538461538,265,135,130,0,0,0,0,50,Inf,0,NA,30,0.6,15,0.3,0,0,0,0,0,0,70,0.608695652,10,0.086956522,0.852941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,1
